id,wolfram_code
1,281795351736418778310438142111844255120
2,281795351726515257997019791041643267472
3,281795676255900891766628978066225218960
4,281795270606722335264414948520499725712
5,281795270596818814950996597450298738064
6,281795595126204448720605784474880689552
7,281795351736380130463142350129540222352
8,286863038531018900907947233313931775376
9,281795351419467480110937094593191464336
10,281795351409563959797518743522990476688
11,281795351419465062259297865283302575504
12,281712213822499694062234609099908566416
13,286946049055902800312081579775914134928
14,281795351409561541945879514213101587856
15,281712213812596173748816258029707578768
16,281795270289807304839502326631411207568
17,281712132692841936642439070448017198480
18,281712152975255167071568339382304230800
19,286946049055912471718638496534434401680
20,281712132692851608048995987206537465232
